Store Number,Annual Revenue,Annual Operational Costs,Median Income,Format
1000,226300,103900,77700,Drive-thru
1001,228700,103900,71800,Drive-thru
1002,148100,103900,60700,Drive-thru
1003,253800,103900,73800,Drive-thru
1004,221100,103900,78100,Drive-thru
1005,266500,103900,77100,Drive-thru
1006,243200,103900,71300,Drive-thru
1007,219300,104000,66000,Drive-thru
1008,315500,103900,91500,Drive-thru
1009,235000,104000,66200,Drive-thru
1010,230200,103900,73800,Drive-thru
1011,244100,104000,73800,Drive-thru
1012,234200,103900,69400,Drive-thru
1013,260300,103900,76600,Drive-thru
1014,248100,104000,67400,Drive-thru
1015,284200,103900,73000,Drive-thru
1016,279900,103900,83800,Drive-thru
1017,222000,104000,67700,Drive-thru
1018,152400,104000,54400,Drive-thru
1019,253000,104000,64700,Drive-thru
1020,219400,103900,75100,Drive-thru
1021,227100,103900,67600,Drive-thru
1022,286600,103900,93600,Drive-thru
1023,219400,103900,77300,Drive-thru
1024,243500,103900,74200,Drive-thru
1025,237800,103900,65300,Drive-thru
1026,213100,103900,64200,Drive-thru
1027,227700,103900,62100,Drive-thru
1028,163600,103900,65500,Drive-thru
1029,271700,103900,82800,Drive-thru
1030,232700,103900,71200,Drive-thru
1031,221600,104000,71500,Drive-thru
1032,205400,103900,65600,Drive-thru
1033,230600,104000,85000,Drive-thru
1034,194200,103900,66500,Drive-thru
1035,192500,103900,47800,Drive-thru
1036,284400,103900,88300,Drive-thru
1037,190000,103900,49300,Drive-thru
1038,237900,103900,69100,Drive-thru
1039,235500,103900,72100,Drive-thru
1040,238900,103900,66200,Drive-thru
1041,252700,103900,69600,Drive-thru
1042,264500,103900,79600,Drive-thru
1043,207600,103900,65000,Drive-thru
1044,227200,103900,61500,Drive-thru
1045,229300,103900,72900,Drive-thru
1046,265600,103900,86300,Drive-thru
1047,228100,103900,60900,Drive-thru
1048,190400,103900,74900,Drive-thru
1049,259600,103900,75700,Drive-thru
1050,173500,103900,60200,Drive-thru
1051,188500,103900,58800,Drive-thru
1052,196100,103900,59700,Drive-thru
1053,219600,103900,60600,Drive-thru
1054,193000,103900,64700,Drive-thru
1055,235300,103900,78200,Drive-thru
1056,164700,103900,70800,Drive-thru
1057,216900,103900,65500,Drive-thru
1058,269600,103900,84300,Drive-thru
1059,265100,103900,86200,Drive-thru
1060,179800,103900,65700,Drive-thru
1061,189400,103900,54400,Drive-thru
1062,226500,104000,78400,Drive-thru
1063,208400,103900,67800,Drive-thru
1064,204300,103900,49800,Drive-thru
1065,194500,104000,60600,Drive-thru
1066,214100,103900,89500,Drive-thru
1067,123700,103900,47700,Drive-thru
1068,233900,104000,57200,Drive-thru
1069,202400,103900,72000,Drive-thru
1070,218000,103900,63200,Drive-thru
1071,265500,103900,73100,Drive-thru
1072,249800,103900,75500,Drive-thru
1073,226900,103900,64200,Drive-thru
1074,234200,103900,66500,Drive-thru
1075,186500,103900,64300,Drive-thru
1076,232500,104000,65800,Drive-thru
1077,183500,103900,58500,Drive-thru
1078,237700,103900,66300,Drive-thru
1079,239400,103900,75700,Drive-thru
1080,231900,103900,75700,Drive-thru
1081,212700,103900,65300,Drive-thru
1082,171900,103900,52100,Drive-thru
1083,202500,103900,65200,Drive-thru
1084,255200,103900,72800,Drive-thru
1085,224500,103900,77400,Drive-thru
1086,211100,103900,76700,Drive-thru
1087,245200,103900,65700,Drive-thru
1088,216100,103900,69100,Drive-thru
1089,246000,103900,71900,Drive-thru
1090,220600,103900,63400,Drive-thru
1091,254100,103900,88700,Drive-thru
1092,190200,103900,63900,Drive-thru
1093,226600,103900,75500,Drive-thru
1094,211200,104000,62700,Drive-thru
1095,186800,103900,58900,Drive-thru
1096,243700,103900,71500,Drive-thru
1097,271600,103900,69800,Drive-thru
1098,232200,103900,70500,Drive-thru
1099,240200,103900,74100,Drive-thru
1100,248100,104000,81500,Drive-thru
1101,159500,103900,69800,Drive-thru
1102,208900,103900,79700,Drive-thru
1103,239200,103900,81500,Drive-thru
1104,252200,103900,77500,Drive-thru
1105,243000,103900,73900,Drive-thru
1106,183800,103900,63500,Drive-thru
1107,177000,103900,53600,Drive-thru
1108,222300,103900,77800,Drive-thru
1109,225300,103900,75100,Drive-thru
1110,204300,103900,60800,Drive-thru
1111,250800,103900,63800,Drive-thru
1112,232600,103900,65700,Drive-thru
1113,265700,104000,74800,Drive-thru
1114,190000,103900,62600,Drive-thru
1115,162500,103900,54900,Drive-thru
1116,256900,103900,88200,Drive-thru
1117,174600,103900,60500,Drive-thru
1118,207700,103900,66600,Drive-thru
1119,247000,103900,89800,Drive-thru
1120,258700,103900,87100,Drive-thru
1121,222100,103900,69300,Drive-thru
1122,257700,103900,72400,Drive-thru
1123,273600,103900,65600,Drive-thru
1124,189000,103900,62900,Drive-thru
1125,209800,103900,60900,Drive-thru
1126,242600,103900,79800,Drive-thru
1127,258900,103900,74300,Drive-thru
1128,211300,103900,56000,Drive-thru
1129,215700,104000,72200,Drive-thru
1130,210600,103900,70100,Drive-thru
1131,212600,103900,62700,Drive-thru
1132,240800,104000,74900,Drive-thru
1133,227700,103900,72400,Drive-thru
1134,254500,103900,79900,Drive-thru
1135,227700,103900,57100,Drive-thru
1136,265300,103900,78200,Drive-thru
1137,247600,104000,78600,Drive-thru
1138,227400,103900,75700,Drive-thru
1139,179900,103900,56700,Drive-thru
1140,239200,103900,79600,Drive-thru
1141,180700,103900,74300,Drive-thru
1142,227000,104000,62600,Drive-thru
1143,211800,103900,71800,Drive-thru
1144,230500,103900,70300,Drive-thru
1145,194900,103900,57000,Drive-thru
1146,188300,103900,70200,Drive-thru
1147,192400,103900,69900,Drive-thru
1148,213800,103900,61200,Drive-thru
1149,242400,103900,73000,Drive-thru
1150,264900,103900,84400,Drive-thru
1151,221300,103900,73300,Drive-thru
1152,201800,103900,56000,Drive-thru
1153,251300,103900,67900,Drive-thru
1154,221100,103900,60600,Drive-thru
1155,245300,103900,73700,Drive-thru
1156,199800,103900,69400,Drive-thru
1157,214300,104000,71100,Drive-thru
1158,239600,103900,86600,Drive-thru
1159,207700,103900,57800,Drive-thru
1160,208000,104000,66800,Drive-thru
1161,186400,103900,62400,Drive-thru
1162,225900,103900,60000,Drive-thru
1163,225700,103900,79700,Drive-thru
1164,278600,103900,88000,Drive-thru
1165,225300,103900,77500,Drive-thru
1166,207000,103900,56400,Drive-thru
1167,225400,103900,82500,Drive-thru
1168,222500,103900,76200,Drive-thru
1169,222000,103900,56100,Drive-thru
1170,234500,103900,85200,Drive-thru
1171,207400,103900,66100,Drive-thru
1172,243800,103900,81100,Drive-thru
1173,208800,103900,68700,Drive-thru
1174,281500,104000,81500,Drive-thru
1175,203200,104000,52200,Drive-thru
1176,210200,103900,60500,Drive-thru
1177,206400,104000,68500,Drive-thru
1178,224700,103900,66000,Drive-thru
1179,229300,103900,72700,Drive-thru
1180,199000,103900,64000,Drive-thru
1181,227700,103900,70700,Drive-thru
1182,212500,103900,62800,Drive-thru
1183,219100,103900,68900,Drive-thru
1184,275500,104000,86000,Drive-thru
1185,215800,103900,67800,Drive-thru
1186,215900,103900,75700,Drive-thru
1187,226300,103900,81000,Drive-thru
1188,240900,103900,71200,Drive-thru
1189,223500,103900,59200,Drive-thru
1190,226100,103900,61800,Drive-thru
1191,195200,104000,63200,Drive-thru
1192,268900,103900,82800,Drive-thru
1193,247700,103900,65800,Drive-thru
1194,224900,104000,61900,Drive-thru
1195,169100,103900,51800,Drive-thru
1196,234400,103900,75000,Drive-thru
1197,220500,103900,74100,Drive-thru
1198,233400,103900,60900,Drive-thru
1199,263000,103900,89200,Drive-thru
1200,250800,103900,80400,Drive-thru
1201,189800,104000,76700,Drive-thru
1202,183800,104000,61100,Drive-thru
1203,258700,103900,82600,Drive-thru
1204,247100,103900,63200,Drive-thru
1205,215000,103900,77000,Drive-thru
1206,262800,104000,81400,Drive-thru
1207,165200,103900,52000,Drive-thru
1208,202700,103900,77900,Drive-thru
1209,233500,103900,81000,Drive-thru
1210,218700,103900,69600,Drive-thru
1211,196100,103900,60100,Drive-thru
1212,230700,103900,68900,Drive-thru
1213,199700,103900,65900,Drive-thru
